id,desc
1,Unknown
2,Other
3,Oak
4,Mountain Maple
5,Mugo Pine
6,Mulberry
7,Northern Catalpa
8,Parkway Maple
9,Pear
10,Pignut Hickory
11,Pin Oak
12,Oakleaf Mountain-Ash
13,Orchard Apple
14,Ornamental Pear
16,Red Mulberry
17,Red Oak
18,Red Pine
19,Redbud
20,Pine
21,Poplar
22,Princeton Sentry Ginkgo
23,Red Maple
24,Siberian Elm
25,Silver Birch
26,Silver Maple
27,Silver Poplar
28,Rock Elm
29,Russian Olive
30,Scots Pine
31,Serviceberry
32,American Yellowwood
33,Amur Corktree
34,Amur Maple
35,Ash
36,Unknown
37,Allegheny Serviceberry
38,American Beech
39,Balsam Fir
40,Balsam Poplar
41,Basswood
42,Beech
43,Austrian Pine
44,Autumn Blaze Maple
45,Autumn Spire Maple
46,Ballerina Serviceberry
47,Black Locust
48,Black Maple
49,Black Oak
50,Black Spruce
51,Birch
52,Bitternut Hickory
53,Black Ash
54,Black Cherry
55,Burr Oak
56,Butternut
57,Carolina Poplar
58,Cedar
59,Black Walnut
60,Bloodgood London Plane
61,Blue Beech
62,Blue Spruce
63,Columnar Norway Maple
64,Common Hackberry
65,Corinthian Linden
66,Corktree
67,Chanticleer Pear
68,Cherry
69,Chinquapin Oak
70,Choke Cherry
71,Cumulus Serviceberry
72,Cypress
73,Dawn Red Wood
74,Douglas Fir
75,Crab Apple
76,Crimson King Maple
77,Crimson Sentry Maple
78,Cucumber tree
79,Elm
80,Endowment Sugar Maple
81,English Elm
82,English Oak
83,Downey Serviceberry
84,Eastern Cottonwood
85,Eastern Red Cedar
86,Eastern White Cedar
87,Fir
88,Flowering Cherry
89,Flowering Plum
90,Freeman Maple
91,European Ash
92,European Beech
93,European Larch
94,European Wild Apple
95,Sunburst Honey Locust
96,Swamp White Oak
97,Sycamore
98,Sycamore Maple
99,Slippery Elm
100,Spruce
101,Striped Maple
102,Sugar Maple
103,Tulip Tree
104,Turkish Hazel
105,White Ash
106,White Birch
107,Tamarack
108,Thornless Honey Locust
109,Tree of Heaven
110,Trembling Aspen
111,White Spruce
112,Willow
113,White Elm
114,White Mulberry
115,White Oak
116,White Pine
117,Green Vase Zelkova
118,Hackberry
119,Harlequin Maple
120,Hawthorn
121,Ginkgo
122,Green Ash
123,Green Mountain Maple
124,Green Spire Linden
125,Ironwood
126,Ivory Silk Lilac
127,Japanese Pagoda Tree
128,Juniper
129,Hemlock
130,Hickory
131,Honey Locust
132,Horse Chestnut
133,Larch
134,Large-toothed Aspen
135,Legacy Sugar Maple
136,Linden
137,Karpick Maple
138,Katsura Tree
139,Kentucky Coffee Tree
140,Kwanzan Cherry
141,Manitoba Maple
142,Maple
143,Mockernut Hickory
144,Mountain-Ash
145,Little Leaf Linden
146,Lombardy Poplar
147,London Plane
148,Magnolia
149,Norway Maple
150,Norway Spruce
151,Norwegian Sunset Maple
