id,desc,family
1,Other,1
2,Unknown,2
3,Abies,3
4,Acer,4
5,Aesculus,5
6,Ailanthus,6
7,Amelanchier,7
8,Betula,8
9,Carpinus,8
10,Carya,9
11,Catalpa,10
12,Celtis,11
13,Cercidiphyllum,12
14,Cercis,13
15,Cladrastis,13
16,Corylus,8
17,Crataegus,7
18,Elaeagnus,14
19,Fagus,15
20,Fraxinus,16
21,Gingko,17
22,Gleditsia,13
23,Gymnocladus,13
24,Juglans,9
25,Juniperus,18
26,Larix,3
27,Liriodendron,19
28,Magnolia,19
29,Malus,7
30,Metasequoia,18
31,Morus,20
32,Ostrya,8
33,Phellodendron,21
34,Picea,3
35,Pinus,3
36,Platanus,22
37,Populus,23
38,Prunus,7
39,Pseudotsuga,3
40,Pyrus,7
41,Quercus,15
42,Robinia,13
43,Salix,23
44,Sorbus,7
45,Styphnolobium,13
46,Syringa,16
47,Thuja,18
48,Tilia,24
49,Tsuga,3
50,Ulmus,25
51,Zelkova,25
