id,desc
1,Unknown
2,Other
3,spicatum
4,mugo
5,albus
6,speciosa
7,platanoides
8,glabra
9,palustris
10,hybrida
11,calleryana
12,rubra
13,resinosa
14,canadensis
15,biloba
16,rubrum
17,pumila
18,pendula
19,saccharinum
20,alba
21,thomasii
22,angustifolia
23,sylvestris
24,alnifolia
25,kentukea
26,amurense
27,ginnala
28,laevis
29,grandifolia
30,balsamea
31,balsamifera
32,americana
33,nigra
34,x freemani
35,x grandiflora
36,pseudoacacia
37,nigrum
38,velutina
39,mariana
40,coriformis
41,serotina
42,macrocarpa
43,cinerea
44,x canadensis
45,x acerifolia
46,caroliniana
47,pungens
48,occidentalis
49,cordata
50,muehllenbergii
51,virginiana
52,gylptostroboides
53,menziesii
54,acuminata
55,saccharum
56,robar
57,arborea
58,delotides
59,excelsior
60,sylvatica
61,decidua
62,triacanthos
63,bicolor
64,pseudoplatanus
65,rubra
66,pensylvanicum
67,tulipifera
68,colurna
69,altissima
70,tremuloides
71,glauca
72,strobus
73,serrata
74,pennsylvanica
75,reticulata
76,japonicum
77,hippocastanum
78,grandidentata
79,dioicus
80,serrulata
81,negundo
82,tomentosa
83,abies
84,truncatum x platanoides
85,papyrifera
86,laricina
