common,genus,species
1,2,1
2,1,2
3,42,1
4,4,3
5,35,4
6,31,5
7,11,6
8,4,7
9,40,1
10,10,8
11,41,9
12,44,10
13,29,1
14,40,11
16,31,12
17,41,12
18,35,13
19,14,14
20,35,1
21,37,1
22,21,15
23,4,16
24,50,17
25,8,18
26,4,19
27,37,20
28,50,21
29,18,22
30,35,23
31,7,24
32,15,25
33,33,26
34,4,27
35,20,1
37,7,28
38,19,29
39,3,39
40,37,31
41,48,32
42,19,1
43,35,33
44,4,34
45,4,16
46,7,35
47,42,36
48,4,37
49,41,38
50,34,39
51,8,1
52,10,40
53,20,33
54,38,41
55,41,42
56,24,43
57,37,46
58,47,1
59,24,33
60,36,45
61,19,46
62,34,47
63,4,7
64,12,48
65,48,49
66,33,26
67,40,11
68,38,1
69,41,50
70,38,51
71,7,28
72,2,1
73,30,52
74,39,53
75,29,1
76,4,7
77,4,7
78,28,54
79,50,1
80,4,55
81,50,1
82,41,56
83,7,57
84,37,58
85,25,51
86,47,48
87,3,1
88,38,1
89,38,1
90,4,34
91,20,59
92,19,60
93,26,61
94,29,23
95,22,62
96,41,63
97,2,1
98,4,64
99,50,65
100,34,1
101,4,66
102,4,55
103,27,67
104,16,68
105,20,32
106,8,85
107,26,86
108,22,62
109,6,69
110,37,70
111,34,71
112,43,1
113,50,32
114,31,20
115,41,20
116,35,72
117,51,73
118,12,48
119,4,7
120,17,1
121,21,15
122,20,66
123,4,3
124,48,49
125,32,51
126,46,75
127,45,76
128,25,1
129,49,14
130,10,1
131,22,62
132,5,77
133,26,1
134,37,78
135,4,55
136,48,1
137,4,16
138,13,76
139,23,79
140,38,80
141,4,3
142,4,1
143,10,82
144,44,1
145,48,49
146,37,33
147,36,45
148,28,1
149,4,7
150,34,83
151,4,84
