id,common,genus,species
103,3,41,2
96,4,4,3
97,5,35,4
98,6,31,5
99,7,11,6
108,8,4,7
109,9,40,1
110,10,10,8
111,11,41,9
104,12,44,10
105,13,29,1
106,14,40,11
107,15,1,2
116,16,31,12
117,17,41,12
118,18,35,13
119,19,14,14
112,20,35,1
113,21,37,1
114,22,21,15
115,23,4,16
124,24,50,17
125,25,8,18
126,26,4,19
127,27,37,20
120,28,50,21
121,29,18,22
122,30,35,23
123,31,7,24
4,32,15,25
5,33,33,26
6,34,4,27
7,35,20,1
1,36,2,1
2,37,7,28
3,38,19,29
12,39,3,30
13,40,37,31
14,41,48,32
15,42,19,1
8,43,35,33
9,44,4,34
10,45,4,16
11,46,7,35
20,47,42,36
21,48,4,37
22,49,41,38
23,50,34,39
16,51,8,1
17,52,10,40
18,53,20,33
19,54,38,41
28,55,41,42
29,56,24,43
30,57,37,44
31,58,47,1
24,59,24,33
25,60,36,45
26,61,19,46
27,62,34,47
36,63,4,7
37,64,12,48
38,65,48,49
39,66,33,26
32,67,40,11
33,68,38,1
34,69,41,50
35,70,38,51
44,71,7,28
45,72,2,1
46,73,30,52
47,74,39,53
40,75,29,1
41,76,4,7
42,77,4,7
43,78,27,54
52,79,50,1
53,80,4,55
54,81,50,1
55,82,41,56
48,83,7,57
49,84,37,58
50,85,25,52
51,86,47,48
60,87,3,1
61,88,38,1
62,89,38,1
63,90,4,34
56,91,20,59
57,92,19,60
58,93,26,61
59,94,29,1
132,95,22,62
133,96,41,63
134,97,36,45
135,98,4,64
128,99,50,65
129,100,34,1
130,101,4,66
131,102,4,55
140,103,27,67
141,104,16,68
143,105,20,32
144,106,8,32
136,107,26,61
137,108,22,62
138,109,6,69
139,110,37,70
149,111,34,71
150,112,43,1
145,113,50,32
146,114,31,20
147,115,41,20
148,116,35,72
68,117,51,73
69,118,12,48
70,119,4,7
71,120,17,1
64,121,21,15
65,122,20,74
66,123,4,55
67,124,48,49
76,125,32,46
77,126,46,75
78,127,45,76
79,128,25,1
72,129,49,1
73,130,10,1
74,131,22,62
75,132,5,77
84,133,26,61
85,134,37,78
86,135,4,55
87,136,48,1
80,137,4,16
81,138,13,76
82,139,23,79
83,140,38,80
92,141,4,81
93,142,4,1
94,143,10,82
95,144,44,1
88,145,48,49
89,146,37,33
90,147,36,45
91,148,28,1
100,149,4,7
101,150,34,83
102,151,4,84
